time,dt,accel_filtered,gyro_filtered_rad,gyro_filtered_deg,accel_raw,gyro_raw_rad,gyro_raw_deg,predict_x,predict_y,predict_heading_deg,predict_velocity,predict_accel,accel_filter_effectiveness,gyro_filter_effectiveness,accel_cutoff_hz,gyro_cutoff_hz,predict_count,P_trace
1749660714.2278175,0.0001938343048095703,-0.023033723805483415,0.001558432360478955,0.08929159691205464,0.007910442285157249,0.0008429540593410469,0.048297709923662335,0.0,0.0,1.7307774612784488e-05,-4.464725841011528e-06,-0.023033723805483415,0.6693898669872365,0.5943065302426718,3.0,5.0,1,3.500000097686519
1749660714.2761981,0.048423051834106445,-0.05570651306203922,0.0003170060514748219,0.018163108829614222,-0.14531846396484271,0.00017679785628977693,0.010129770992364673,-2.1619565082436583e-07,-6.530787483008437e-14,0.0008968209349377104,-0.0027019440953414643,-0.05570651306203922,0.6693898669872365,0.5943065302426718,3.0,5.0,2,6.608445975113931
1749660714.3396447,0.0640411376953125,0.0004813919816743558,-0.01050167577213325,-0.6017016995580252,0.03424666054687586,-0.03326424353688402,-1.9059007633587806,-0.00017325176948442678,-2.7085008407254663e-09,359.962363159542,-0.0026711152051576374,0.0004813919816743558,0.6693898669872365,0.5943065302426718,3.0,5.0,3,9.73417883152995
1749660714.3889847,0.04876875877380371,0.020037460422626698,-0.00929219171789919,-0.5324033678620417,-0.03757938925781157,0.002175266465443587,0.12463358778625766,-0.0003035187144766841,8.286214629037084e-08,359.9363985081244,-0.001693913131366917,0.020037460422626698,0.6693898669872365,0.5943065302426718,3.0,5.0,4,12.86591204975007
1749660714.4391565,0.050188302993774414,-0.01705607132518451,-9.650575658188458e-05,-0.005529372550858852,-0.039973590917967705,0.001509110262392317,0.08646564885496001,-0.00038853328758037346,1.7723307461027738e-07,359.93612099829943,-0.0025499284069187044,-0.01705607132518451,0.6693898669872365,0.5943065302426718,3.0,5.0,5,16.016749940532655
1749660714.4982524,0.05910468101501465,-0.004957568037078773,0.0001907716964947106,0.0109304130596976,0.03903506386718858,0.001908803984223082,0.10936641221373879,-0.0005392458990145243,3.452624693205959e-07,359.9367670368767,-0.0028429438843604778,-0.004957568037078773,0.6693898669872365,0.5943065302426718,3.0,5.0,6,19.208064305783466
1749660714.541999,0.043731689453125,0.029664978685264774,0.0007546998577180011,0.04324111664636519,0.10607271035156352,0.0005764915781205342,0.033030534351143004,-0.0006635725623840177,4.824723402508188e-07,359.9386580439615,-0.0015456442488629063,0.029664978685264774,0.6693898669872365,0.5943065302426718,3.0,5.0,7,22.398926309190664
1749660714.5917957,0.049783945083618164,0.040228179616656166,2.5078245644231565e-05,0.001436877633006809,-0.030396784277342714,4.356661567951672e-05,0.002496183206104785,-0.0007405207866881985,5.648546105694921e-07,359.93872957739865,0.00045707323598663204,0.040228179616656166,0.6693898669872365,0.5943065302426718,3.0,5.0,8,25.63415082179231
1749660714.6392448,0.047441720962524414,0.014077012006652859,0.00192176235378366,0.1101088720989307,0.03903506386718858,0.003241116390325622,0.1857022900763341,-0.0007188364581656834,5.416660181437109e-07,359.94395333178426,0.0011249109115923628,0.014077012006652859,0.6693898669872365,0.5943065302426718,3.0,5.0,9,28.897912279910322
1749660714.679537,0.040297508239746094,0.01763788825022859,0.0005365645969467438,0.030742886841186517,-0.018425775976561587,-0.0003561271061512406,-0.020404580152673546,-0.000673505373124866,4.973231866978947e-07,359.94519219352003,0.0018356738586876701,0.01763788825022859,0.6693898669872365,0.5943065302426718,3.0,5.0,10,32.166707155862106
