time,event_type,lat,lon,alt,gps_x,gps_y,accuracy,num_satellites
1749665424.0123794,gps_update,-7.2835453333333335,112.7964835,0,0.0,0.0,0,0
1749665424.0123794,gps_update,-7.2835453333333335,112.7964835,0,0.0,0.0,0,0
1749665424.0123794,gps_update,-7.2835453333333335,112.7964835,0,0.0,0.0,0,0
1749665424.2202284,gps_update,-7.2835453333333335,112.7964835,0,0.0,0.0,0,0
1749665424.2202284,gps_update,-7.2835453333333335,112.7964835,0,0.0,0.0,0,0
1749665424.2202284,gps_update,-7.2835453333333335,112.7964835,0,0.0,0.0,0,0
1749665424.2202284,gps_update,-7.2835453333333335,112.7964835,0,0.0,0.0,0,0
1749665424.42826,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.42826,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.42826,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.42826,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.6338027,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.6338027,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.6338027,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.6338027,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.6338027,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.8409607,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.8409607,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.8409607,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.8409607,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665424.8409607,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.044443,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.044443,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.044443,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.044443,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.2451491,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.2451491,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.2451491,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.2451491,gps_update,-7.283545,112.7964835,0,0.0,0.03706497545896692,0,0
1749665425.448183,gps_update,-7.283544833333333,112.7964835,0,0.0,0.05559746336528115,0,0
1749665425.448183,gps_update,-7.283544833333333,112.7964835,0,0.0,0.05559746336528115,0,0
1749665425.448183,gps_update,-7.283544833333333,112.7964835,0,0.0,0.05559746336528115,0,0
1749665425.448183,gps_update,-7.283544833333333,112.7964835,0,0.0,0.05559746336528115,0,0
1749665425.448183,gps_update,-7.283544833333333,112.7964835,0,0.0,0.05559746336528115,0,0
1749665425.6486702,gps_update,-7.283544833333333,112.7964835,0,0.0,0.05559746336528115,0,0
1749665425.6486702,gps_update,-7.283544833333333,112.7964835,0,0.0,0.05559746336528115,0,0
