timestamp,datetime,gps1_lat,gps1_lon,gps1_x,gps1_y,gps2_lat,gps2_lon,gps2_x,gps2_y,gps3_lat,gps3_lon,gps3_x,gps3_y,estimated_x,estimated_y,smoothed_x,smoothed_y
1747921507.321396,2025-05-22 20:45:07.321396,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,,,,,,,,,4.693154353371675,-7.557128768404267,4.693154353371675,-7.557128768404267
1747921507.4277978,2025-05-22 20:45:07.427798,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,2.4215771766858376,-3.7352631140129113
1747921507.5312672,2025-05-22 20:45:07.531267,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,1.6643847844572253,-2.4613078958824595
1747921507.6340013,2025-05-22 20:45:07.634001,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,1.285788588342919,-1.8243302868172335
1747921507.74093,2025-05-22 20:45:07.740930,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,1.0586308706743353,-1.4421437213780979
1747921507.847002,2025-05-22 20:45:07.847002,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921507.953838,2025-05-22 20:45:07.953838,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921508.0610454,2025-05-22 20:45:08.061045,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921508.1769934,2025-05-22 20:45:08.176993,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921508.2878218,2025-05-22 20:45:08.287822,-7.2836343333333335,112.7965085,4.693154353371675,-7.557128768404267,-7.283594,112.796484,1.9876890801967986,-3.096579539152039,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921508.3962572,2025-05-22 20:45:08.396257,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844385,0.15,0.08660254037844387
1747921508.5035672,2025-05-22 20:45:08.503567,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844385,0.15,0.08660254037844387
1747921508.6101635,2025-05-22 20:45:08.610163,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844385,0.15,0.08660254037844387
1747921508.7166445,2025-05-22 20:45:08.716645,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844385,0.15,0.08660254037844385
1747921508.8236554,2025-05-22 20:45:08.823655,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283622833333333,112.79648183333333,1.7484300972729603,-6.285319138118804,0.15,0.08660254037844385,0.15,0.08660254037844385
1747921508.9301646,2025-05-22 20:45:08.930165,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844384,0.15,0.08660254037844385
1747921509.0357225,2025-05-22 20:45:09.035722,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844384,0.15,0.08660254037844385
1747921509.1419678,2025-05-22 20:45:09.141968,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844384,0.15,0.08660254037844384
