timestamp_unix,timestamp_readable,latitude,longitude,gps_quality,num_satellites,horizontal_dilution,altitude,altitude_units,geoid_height,geoid_height_units,dgps_time,dgps_station_id,raw_sentence,hz_instantaneous,hz_average
1749736381.2796042,2025-06-12 20:53:01.279,-7.2835738333333335,112.796732,1,09,0.79,20.3,M,17.3,M,,,"$GPGGA,135301.00,0717.01443,S,11247.80392,E,1,09,0.79,20.3,M,17.3,M,,*75",0.0,2.25
1749736382.279481,2025-06-12 20:53:02.279,-7.2835738333333335,112.79673183333334,1,09,0.79,20.4,M,17.3,M,,,"$GPGGA,135302.00,0717.01443,S,11247.80391,E,1,09,0.79,20.4,M,17.3,M,,*72",1.0,1.39
1749736383.2805765,2025-06-12 20:53:03.280,-7.283574166666667,112.79673116666666,1,09,0.79,20.4,M,17.3,M,,,"$GPGGA,135303.00,0717.01445,S,11247.80387,E,1,09,0.79,20.4,M,17.3,M,,*72",1.0,1.23
1749736384.2808871,2025-06-12 20:53:04.280,-7.283574333333333,112.79673033333333,1,09,0.79,20.4,M,17.3,M,,,"$GPGGA,135304.00,0717.01446,S,11247.80382,E,1,09,0.79,20.4,M,17.3,M,,*73",1.0,1.16
1749736385.2789037,2025-06-12 20:53:05.278,-7.283574833333334,112.79672966666666,1,09,0.79,20.4,M,17.3,M,,,"$GPGGA,135305.00,0717.01449,S,11247.80378,E,1,09,0.79,20.4,M,17.3,M,,*78",1.0,1.13
1749736386.2848544,2025-06-12 20:53:06.284,-7.283575166666667,112.79672866666667,1,09,0.79,20.3,M,17.3,M,,,"$GPGGA,135306.00,0717.01451,S,11247.80372,E,1,09,0.79,20.3,M,17.3,M,,*7F",1.0,1.1
1749736387.281766,2025-06-12 20:53:07.281,-7.2835755,112.79672766666667,1,09,0.79,20.3,M,17.3,M,,,"$GPGGA,135307.00,0717.01453,S,11247.80366,E,1,09,0.79,20.3,M,17.3,M,,*79",1.0,1.09
1749736388.281688,2025-06-12 20:53:08.281,-7.283574833333334,112.79672616666667,1,09,0.79,20.3,M,17.3,M,,,"$GPGGA,135308.00,0717.01449,S,11247.80357,E,1,09,0.79,20.3,M,17.3,M,,*7F",1.0,1.07
1749736389.278889,2025-06-12 20:53:09.278,-7.283574833333334,112.79672583333334,1,09,0.79,20.3,M,17.3,M,,,"$GPGGA,135309.00,0717.01449,S,11247.80355,E,1,09,0.79,20.3,M,17.3,M,,*7C",1.0,1.07
1749736390.2793982,2025-06-12 20:53:10.279,-7.283575333333333,112.79672583333334,1,09,0.79,20.3,M,17.3,M,,,"$GPGGA,135310.00,0717.01452,S,11247.80355,E,1,09,0.79,20.3,M,17.3,M,,*7E",1.0,1.06
1749736391.2830977,2025-06-12 20:53:11.283,-7.2835755,112.79672616666667,1,09,0.79,20.2,M,17.3,M,,,"$GPGGA,135311.00,0717.01453,S,11247.80357,E,1,09,0.79,20.2,M,17.3,M,,*7D",1.0,1.05
1749736392.2840173,2025-06-12 20:53:12.284,-7.283575666666667,112.79672716666667,1,09,0.79,20.0,M,17.3,M,,,"$GPGGA,135312.00,0717.01454,S,11247.80363,E,1,09,0.79,20.0,M,17.3,M,,*7C",1.0,1.05
1749736393.2817597,2025-06-12 20:53:13.281,-7.283575833333333,112.79672783333334,1,09,0.79,19.9,M,17.3,M,,,"$GPGGA,135313.00,0717.01455,S,11247.80367,E,1,09,0.79,19.9,M,17.3,M,,*7B",1.0,1.04
1749736394.281733,2025-06-12 20:53:14.281,-7.283576166666666,112.7967285,1,09,0.79,19.5,M,17.3,M,,,"$GPGGA,135314.00,0717.01457,S,11247.80371,E,1,09,0.79,19.5,M,17.3,M,,*75",1.0,1.04
1749736395.279962,2025-06-12 20:53:15.279,-7.283576166666666,112.7967285,1,09,0.91,19.4,M,17.3,M,,,"$GPGGA,135315.00,0717.01457,S,11247.80371,E,1,09,0.91,19.4,M,17.3,M,,*73",1.0,1.04
1749736396.2750206,2025-06-12 20:53:16.275,-7.283576,112.79672866666667,1,09,0.91,19.2,M,17.3,M,,,"$GPGGA,135316.00,0717.01456,S,11247.80372,E,1,09,0.91,19.2,M,17.3,M,,*74",1.0,1.04
1749736397.2799644,2025-06-12 20:53:17.279,-7.283576166666666,112.79672883333333,1,09,0.91,18.9,M,17.3,M,,,"$GPGGA,135317.00,0717.01457,S,11247.80373,E,1,09,0.91,18.9,M,17.3,M,,*7F",1.0,1.03
1749736398.285985,2025-06-12 20:53:18.285,-7.283576166666666,112.79672866666667,1,09,0.91,18.7,M,17.3,M,,,"$GPGGA,135318.00,0717.01457,S,11247.80372,E,1,09,0.91,18.7,M,17.3,M,,*7F",1.0,1.03
1749736399.2820764,2025-06-12 20:53:19.282,-7.283576333333333,112.79672916666667,1,09,0.79,18.5,M,17.3,M,,,"$GPGGA,135319.00,0717.01458,S,11247.80375,E,1,09,0.79,18.5,M,17.3,M,,*72",1.0,1.03
1749736400.2803671,2025-06-12 20:53:20.280,-7.283576333333333,112.79672933333333,1,09,0.91,18.4,M,17.3,M,,,"$GPGGA,135320.00,0717.01458,S,11247.80376,E,1,09,0.91,18.4,M,17.3,M,,*7C",1.0,1.03
1749736401.280933,2025-06-12 20:53:21.280,-7.283576333333333,112.79672933333333,1,09,0.91,18.1,M,17.3,M,,,"$GPGGA,135321.00,0717.01458,S,11247.80376,E,1,09,0.91,18.1,M,17.3,M,,*78",1.0,1.03
1749736402.2809741,2025-06-12 20:53:22.280,-7.283576333333333,112.79672983333333,1,09,0.91,17.8,M,17.3,M,,,"$GPGGA,135322.00,0717.01458,S,11247.80379,E,1,09,0.91,17.8,M,17.3,M,,*72",1.0,1.03
1749736403.2787373,2025-06-12 20:53:23.278,-7.2835765,112.79673016666666,1,09,0.91,17.6,M,17.3,M,,,"$GPGGA,135323.00,0717.01459,S,11247.80381,E,1,09,0.91,17.6,M,17.3,M,,*7B",1.0,1.02
1749736404.2859018,2025-06-12 20:53:24.285,-7.283575833333333,112.79673016666666,1,09,0.79,17.5,M,17.3,M,,,"$GPGGA,135324.00,0717.01455,S,11247.80381,E,1,09,0.79,17.5,M,17.3,M,,*75",1.0,1.02
